City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kununurra,51,AU,2022-06-11 15:34:06,30,-15.7667,128.7333,66.18,5.75
1,Bredasdorp,100,ZA,2022-06-11 15:20:56,28,-34.5322,20.0403,72.16,2.13
2,Ushuaia,20,AR,2022-06-11 15:34:07,93,-54.8,-68.3,38.86,10.36
3,Busselton,20,AU,2022-06-11 15:34:07,84,-33.65,115.3333,61.25,8.88
4,Albany,100,US,2022-06-11 15:30:40,61,42.6001,-73.9662,72.03,1.28
5,Longyearbyen,75,SJ,2022-06-11 15:34:08,81,78.2186,15.6401,39.04,10.36
6,Rutland,0,US,2022-06-11 15:34:08,57,43.6167,-73.0162,73.26,1.99
7,Hithadhoo,33,MV,2022-06-11 15:34:09,72,-0.6,73.0833,83.44,8.46
8,Tuktoyaktuk,100,CA,2022-06-11 15:34:09,93,69.4541,-133.0374,35.6,13.8
9,Saskylakh,30,RU,2022-06-11 15:34:09,53,71.9167,114.0833,54.32,13.09
10,Schattdorf,0,CH,2022-06-11 15:34:10,46,46.8655,8.6547,84.24,6.08
11,Ribeira Grande,40,PT,2022-06-11 15:34:10,78,38.5167,-28.7,70.2,6.91
12,Cape Town,0,ZA,2022-06-11 15:25:25,35,-33.9258,18.4232,74.12,11.01
13,Lazaro Cardenas,97,MX,2022-06-11 15:34:11,59,17.9583,-102.2,86.88,3.27
14,Georgetown,40,MY,2022-06-11 15:30:21,100,5.4112,100.3354,78.73,2.3
15,Yulara,6,AU,2022-06-11 15:34:12,54,-25.2406,130.9889,46.4,6.4
16,Cherskiy,100,RU,2022-06-11 15:34:12,46,68.75,161.3,57.83,6.2
17,Glendive,0,US,2022-06-11 15:33:13,52,47.1053,-104.7125,74.82,4.0
18,Ust-Nera,4,RU,2022-06-11 15:34:13,43,64.5667,143.2,46.53,3.76
19,Mataura,65,NZ,2022-06-11 15:34:13,91,-46.1927,168.8643,35.47,6.58
20,Puerto Ayora,74,EC,2022-06-11 15:34:14,92,-0.7393,-90.3518,75.16,5.01
21,Samarai,71,PG,2022-06-11 15:34:14,81,-10.6167,150.6667,79.72,4.5
22,Nsanje,41,MW,2022-06-11 15:34:14,76,-16.92,35.262,66.96,4.18
23,Talcahuano,0,CL,2022-06-11 15:34:15,66,-36.7167,-73.1167,51.48,2.3
24,Cabo San Lucas,75,MX,2022-06-11 15:33:41,63,22.8909,-109.9124,85.3,3.44
25,Lompoc,0,US,2022-06-11 15:34:15,81,34.6391,-120.4579,71.74,5.75
26,Mitsamiouli,30,KM,2022-06-11 15:34:16,72,-11.3847,43.2844,79.32,12.35
27,Vila,42,PT,2022-06-11 15:34:16,52,42.0304,-8.1588,80.71,4.32
28,Simao,100,CN,2022-06-11 15:34:17,99,22.7886,100.9748,65.82,2.68
29,Makat,17,KZ,2022-06-11 15:34:17,22,47.6469,53.3463,85.75,13.47
30,Rikitea,29,PF,2022-06-11 15:20:56,79,-23.1203,-134.9692,74.32,15.32
31,Vostok,1,RU,2022-06-11 15:34:18,92,46.4856,135.8833,44.26,3.36
32,Port Alfred,62,ZA,2022-06-11 15:25:25,48,-33.5906,26.891,70.18,7.25
33,Coihaique,100,CL,2022-06-11 15:34:18,93,-45.5752,-72.0662,32.61,0.0
34,Grand-Santi,100,GF,2022-06-11 15:34:19,74,4.25,-54.3833,79.47,2.64
35,Ternate,82,ID,2022-06-11 15:34:19,80,0.8,127.4,80.1,4.74
36,Vaini,20,TO,2022-06-11 15:34:20,88,-21.2,-175.2,75.36,5.75
37,Hobart,75,AU,2022-06-11 15:31:49,89,-42.8794,147.3294,40.86,17.27
38,Touros,71,BR,2022-06-11 15:34:20,60,-5.1989,-35.4608,85.19,8.97
39,Severo-Kurilsk,93,RU,2022-06-11 15:34:21,83,50.6789,156.125,43.77,9.95
40,Rocha,100,UY,2022-06-11 15:34:21,69,-34.4833,-54.3333,50.61,17.63
41,Mount Gambier,100,AU,2022-06-11 15:31:39,77,-37.8333,140.7667,50.59,10.89
42,Whitehorse,75,CA,2022-06-11 15:30:23,60,60.7161,-135.0538,52.81,6.91
43,The Pas,100,CA,2022-06-11 15:34:22,67,53.8251,-101.2541,55.42,10.36
44,Ancud,100,CL,2022-06-11 15:33:34,68,-41.8697,-73.8203,47.44,3.27
45,Muros,56,ES,2022-06-11 15:34:23,71,42.7762,-9.0603,75.09,18.14
46,Kapaa,20,US,2022-06-11 15:34:23,83,22.0752,-159.319,71.92,12.66
47,Lagoa,100,PT,2022-06-11 15:35:23,88,39.05,-27.9833,59.99,13.29
48,Kodiak,100,US,2022-06-11 15:25:27,82,57.79,-152.4072,53.11,6.91
49,Nola,2,IT,2022-06-11 15:35:24,57,40.922,14.5329,85.91,5.99
50,Broken Hill,0,AU,2022-06-11 15:35:24,79,-31.95,141.4333,45.01,8.9
51,Khatanga,35,RU,2022-06-11 15:35:25,56,71.9667,102.5,50.2,9.42
52,Palaia Fokaia,76,GR,2022-06-11 15:35:25,62,37.72,23.9463,82.85,5.5
53,Muroto,100,JP,2022-06-11 15:35:25,81,33.2833,134.15,67.71,7.54
54,Otane,53,NZ,2022-06-11 15:35:26,72,-39.8833,176.6333,56.01,4.65
55,Jamestown,71,US,2022-06-11 15:31:45,64,42.097,-79.2353,72.01,6.62
56,Moron,45,AR,2022-06-11 15:35:26,39,-34.6534,-58.6198,54.0,7.4
57,Kruisfontein,33,ZA,2022-06-11 15:35:27,23,-34.0033,24.7314,74.88,9.06
58,Mandalgovi,97,MN,2022-06-11 15:35:27,78,45.7625,106.2708,50.58,20.62
59,Lisakovsk,92,KZ,2022-06-11 15:35:28,63,52.5369,62.4936,64.54,12.15
60,Ponta Do Sol,0,PT,2022-06-11 15:35:28,73,32.6667,-17.1,80.71,1.01
61,Jacqueville,99,CI,2022-06-11 15:35:28,80,5.2052,-4.4146,79.47,14.58
62,Mar Del Plata,0,AR,2022-06-11 15:33:41,71,-38.0023,-57.5575,56.08,11.5
63,Manggar,100,ID,2022-06-11 15:35:29,77,-2.8833,108.2667,81.19,0.85
64,New Norfolk,100,AU,2022-06-11 15:35:29,82,-42.7826,147.0587,40.5,3.0
65,Strezhevoy,90,RU,2022-06-11 15:35:30,95,60.7333,77.5889,59.07,8.88
66,Lorengau,66,PG,2022-06-11 15:35:30,79,-2.0226,147.2712,80.46,5.32
67,Punta Arenas,100,CL,2022-06-11 15:35:31,87,-53.15,-70.9167,44.71,4.61
68,East London,0,ZA,2022-06-11 15:35:31,68,-33.0153,27.9116,68.94,4.61
69,Tura,13,IN,2022-06-11 15:35:31,97,25.5198,90.2201,74.39,7.4
70,Qaanaaq,100,GL,2022-06-11 15:35:32,76,77.484,-69.3632,29.66,5.35
71,Mankono,97,CI,2022-06-11 15:35:33,51,8.0586,-6.1897,88.02,4.83
72,Hermanus,100,ZA,2022-06-11 15:35:33,48,-34.4187,19.2345,71.8,6.15
73,Joao Camara,57,BR,2022-06-11 15:35:33,62,-5.5375,-35.8197,84.06,7.25
74,Muzaffarpur,45,IN,2022-06-11 15:35:34,58,26.1167,85.4,91.17,15.79
75,Ilulissat,40,GL,2022-06-11 15:35:34,75,69.2167,-51.1,35.62,9.22
76,Mahebourg,75,MU,2022-06-11 15:35:35,68,-20.4081,57.7,73.69,13.8
77,Puerto Ayacucho,91,VE,2022-06-11 15:35:35,74,5.6639,-67.6236,84.72,0.85
78,Meulaboh,100,ID,2022-06-11 15:35:35,85,4.1363,96.1285,77.92,1.81
79,Filotion,40,GR,2022-06-11 15:35:36,73,37.05,25.5,72.43,10.36
80,Petropavlovsk-Kamchatskiy,100,RU,2022-06-11 15:35:36,100,53.0452,158.6483,43.39,4.47
81,Lebu,96,CL,2022-06-11 15:35:37,64,-37.6167,-73.65,54.45,4.56
82,Nouadhibou,3,MR,2022-06-11 15:35:37,79,20.931,-17.0347,69.1,27.34
83,Saint Anthony,100,US,2022-06-11 15:35:38,83,45.0205,-93.218,70.81,4.61
84,Aksarka,34,RU,2022-06-11 15:35:38,56,66.5606,67.7975,65.64,11.07
85,Narsaq,100,GL,2022-06-11 15:35:39,58,60.9167,-46.05,55.62,6.26
86,Warburton,0,PK,2022-06-11 15:35:39,16,31.55,73.8333,101.84,7.72
87,Dudinka,89,RU,2022-06-11 15:35:40,45,69.4058,86.1778,63.63,12.71
88,Paamiut,97,GL,2022-06-11 15:35:40,83,61.994,-49.6678,39.47,5.66
89,Fairbanks,0,US,2022-06-11 15:34:13,77,64.8378,-147.7164,51.1,0.0
90,Arraial Do Cabo,100,BR,2022-06-11 15:35:41,78,-22.9661,-42.0278,69.66,8.05
91,Portales,1,US,2022-06-11 15:35:41,22,34.1862,-103.3344,93.33,1.01
92,Praia,20,CV,2022-06-11 15:36:42,54,14.9215,-23.5087,84.74,5.75
93,Qaqortoq,100,GL,2022-06-11 15:36:42,66,60.7167,-46.0333,44.73,7.14
94,Vadgaon,100,IN,2022-06-11 15:36:43,88,20.9402,74.8712,74.59,4.23
95,Pandan,38,PH,2022-06-11 15:36:43,86,14.0453,124.1694,78.31,4.9
96,Barrow,100,US,2022-06-11 15:36:03,86,71.2906,-156.7887,32.02,11.5
97,Honggang,84,CN,2022-06-11 15:36:43,59,46.4667,124.8667,68.83,8.03
98,Concarneau,26,FR,2022-06-11 15:36:44,59,47.875,-3.9225,73.81,12.84
99,Pisco,100,PE,2022-06-11 15:36:44,94,-13.7,-76.2167,59.05,4.61
100,Beira,40,MZ,2022-06-11 15:36:44,88,-19.8436,34.8389,71.69,8.05
101,Hamilton,75,US,2022-06-11 15:33:04,75,39.1834,-84.5333,73.08,8.05
102,Turukhansk,99,RU,2022-06-11 15:36:45,43,65.8167,87.9833,63.18,14.25
103,High Rock,41,BS,2022-06-11 15:36:45,67,26.6208,-78.2833,80.62,12.55
104,Ostrovnoy,28,RU,2022-06-11 15:36:46,47,68.0531,39.5131,58.23,5.68
105,Aborlan,73,PH,2022-06-11 15:36:46,81,9.4352,118.5492,82.47,2.75
106,San Cristobal,99,VE,2022-06-11 15:36:46,50,7.7669,-72.225,77.18,7.63
107,Kemin,77,KG,2022-06-11 15:36:47,71,42.7846,75.6892,63.52,4.23
108,Vila Franca Do Campo,100,PT,2022-06-11 15:36:47,82,37.7167,-25.4333,68.41,5.14
109,Vila Velha,75,BR,2022-06-11 15:36:47,71,-20.3297,-40.2925,78.75,11.5
110,Pacific Grove,0,US,2022-06-11 15:33:05,76,36.6177,-121.9166,76.33,5.75
111,Honda,100,CO,2022-06-11 15:36:48,72,5.2086,-74.7358,82.54,2.13
112,Sulphur Springs,0,US,2022-06-11 15:36:48,70,33.1385,-95.6011,85.82,9.22
113,Florence,0,IT,2022-06-11 15:33:22,36,43.7667,11.25,91.81,13.8
114,Grindavik,75,IS,2022-06-11 15:36:49,66,63.8424,-22.4338,54.07,18.41
115,Pevek,74,RU,2022-06-11 15:36:49,64,69.7008,170.3133,36.32,6.58
116,Thompson,40,CA,2022-06-11 15:36:49,58,55.7435,-97.8558,57.36,4.61
117,Rio Grande,4,BR,2022-06-11 15:36:50,58,-32.035,-52.0986,53.71,21.3
118,Krasnoselkup,100,RU,2022-06-11 15:36:50,72,65.7,82.4667,61.39,15.26
119,Iqaluit,75,CA,2022-06-11 15:36:50,61,63.7506,-68.5145,47.93,13.8
120,Batamshinskiy,82,KZ,2022-06-11 15:36:51,73,50.5594,58.2747,63.68,7.9
121,Steinbach,0,DE,2022-06-11 15:36:51,38,50.1667,8.5667,82.27,9.22
122,Broome,0,US,2022-06-11 15:36:51,56,42.2506,-75.833,71.46,4.61
123,Beringovskiy,47,RU,2022-06-11 15:36:52,70,63.05,179.3167,38.53,5.14
124,Port Elizabeth,0,ZA,2022-06-11 15:34:19,36,-33.918,25.5701,79.09,3.44
125,Sisimiut,40,GL,2022-06-11 15:36:52,66,66.9395,-53.6735,41.18,11.63
126,Vyartsilya,30,RU,2022-06-11 15:36:53,57,62.1764,30.693,65.3,8.1
127,Rockport,40,US,2022-06-11 15:36:53,80,28.0206,-97.0544,90.07,16.11
128,Ahipara,82,NZ,2022-06-11 15:36:53,88,-35.1667,173.1667,58.14,16.49
129,Oktyabrskoye,40,RU,2022-06-11 15:36:54,34,43.0645,44.7417,77.14,13.42
130,Yellowknife,75,CA,2022-06-11 15:36:54,72,62.456,-114.3525,61.32,18.41
131,Nabire,19,ID,2022-06-11 15:36:54,91,-3.3667,135.4833,75.51,2.84
132,Loknya,91,RU,2022-06-11 15:36:55,78,56.83,30.1467,65.01,5.39
133,Cidreira,4,BR,2022-06-11 15:36:55,57,-30.1811,-50.2056,51.12,20.0
134,Chokurdakh,16,RU,2022-06-11 15:36:56,55,70.6333,147.9167,48.22,10.49
135,Pangnirtung,100,CA,2022-06-11 15:36:56,87,66.1451,-65.7125,39.2,11.5
136,Charters Towers,84,AU,2022-06-11 15:36:56,46,-20.1,146.2667,51.39,8.48
137,Grand Gaube,67,MU,2022-06-11 15:36:57,79,-20.0064,57.6608,73.8,5.99
138,Bobrovka,8,RU,2022-06-11 15:36:57,80,54.047,61.7455,59.23,9.08
139,Bethel,40,US,2022-06-11 15:36:57,54,41.3712,-73.414,76.46,5.75
140,Egvekinot,70,RU,2022-06-11 15:36:58,66,66.3167,-179.1667,33.51,3.85
141,Ugoofaaru,96,MV,2022-06-11 15:37:58,75,5.6667,73.0,83.39,10.67
142,Bluff,91,NZ,2022-06-11 15:37:59,75,-46.6,168.3333,35.8,19.01
143,San Vicente,52,AR,2022-06-11 15:35:08,34,-26.6167,-54.1333,51.82,5.35
144,Victoria,100,HK,2022-06-11 15:37:05,88,22.2855,114.1577,83.32,10.0
145,Ixtapa,75,MX,2022-06-11 15:37:59,78,20.7,-105.2,81.63,2.3
146,Puerto Vallarta,75,MX,2022-06-11 15:37:08,78,20.6204,-105.2307,82.31,2.3
147,Saint-Augustin,100,CA,2022-06-11 15:38:00,84,51.226,-58.6502,55.98,21.65
148,Butaritari,17,KI,2022-06-11 15:38:00,76,3.0707,172.7902,81.32,11.68
149,Norman Wells,75,CA,2022-06-11 15:38:00,76,65.282,-126.8329,51.84,10.36
150,Goya,3,AR,2022-06-11 15:38:01,28,-29.14,-59.2626,56.12,0.31
151,Carnarvon,1,AU,2022-06-11 15:38:01,70,-24.8667,113.6333,70.63,11.99
152,Cairns,29,AU,2022-06-11 15:36:12,68,-16.9167,145.7667,66.15,11.5
153,Arlit,82,NE,2022-06-11 15:38:02,18,18.7369,7.3853,98.65,18.92
154,Sakakah,0,SA,2022-06-11 15:38:02,9,29.9697,40.2064,105.37,9.17
155,Tasiilaq,3,GL,2022-06-11 15:38:02,69,65.6145,-37.6368,42.96,1.72
156,Homer,0,US,2022-06-11 15:38:03,80,59.6425,-151.5483,53.49,1.99
157,Sao Filipe,6,CV,2022-06-11 15:38:03,77,14.8961,-24.4956,75.36,5.73
158,Alice Springs,100,AU,2022-06-11 15:38:03,66,-23.7,133.8833,49.55,8.05
159,Tiksi,88,RU,2022-06-11 15:38:04,77,71.6872,128.8694,37.74,7.4
160,Westport,0,US,2022-06-11 15:38:04,54,41.1415,-73.3579,78.1,4.61
161,Hoa Binh,100,VN,2022-06-11 15:36:08,97,20.8133,105.3383,79.25,1.86
162,Aklavik,100,CA,2022-06-11 15:38:05,93,68.2191,-135.0107,35.6,13.8
163,Shanghai,20,CN,2022-06-11 15:38:05,79,31.2222,121.4581,73.26,6.71
164,Richards Bay,0,ZA,2022-06-11 15:38:06,80,-28.783,32.0377,67.55,12.62
165,Vao,97,NC,2022-06-11 15:38:06,82,-22.6667,167.4833,72.25,8.5
166,Puerto Padre,91,CU,2022-06-11 15:38:06,57,21.195,-76.6028,88.03,5.46
167,Castro,100,BR,2022-06-11 15:38:07,42,-24.7911,-50.0119,55.24,3.4
168,Port Lincoln,6,AU,2022-06-11 15:38:07,75,-34.7333,135.8667,52.88,6.78
169,Dhanwar,6,IN,2022-06-11 15:38:07,28,24.4167,85.9833,96.66,14.5
170,Salalah,40,OM,2022-06-11 15:38:08,79,17.0151,54.0924,87.89,12.66
171,Weihe,100,CN,2022-06-11 15:38:08,96,32.9952,105.3247,59.92,1.83
172,Saldanha,100,ZA,2022-06-11 15:38:08,63,-33.0117,17.9442,75.25,10.0
173,Atuona,36,PF,2022-06-11 15:38:09,69,-9.8,-139.0333,77.2,15.35
174,Kysyl-Syr,59,RU,2022-06-11 15:38:09,89,63.8986,122.7617,48.4,3.15
175,Ipanguacu,42,BR,2022-06-11 15:38:10,40,-5.4983,-36.855,91.53,7.34
176,Chardara,100,KZ,2022-06-11 15:38:10,48,41.2547,67.9692,77.94,6.13
177,Hilo,40,US,2022-06-11 15:38:10,82,19.7297,-155.09,74.28,6.91
178,Vanimo,55,PG,2022-06-11 15:38:11,86,-2.6741,141.3028,77.99,4.07
179,Maragogi,15,BR,2022-06-11 15:38:11,76,-9.0122,-35.2225,80.47,4.79
180,Chauk,39,MM,2022-06-11 15:38:12,62,20.8833,94.8167,85.39,11.27
181,Manati,71,PR,2022-06-11 15:38:12,80,18.4275,-66.4921,88.95,17.0
182,Walvis Bay,0,NA,2022-06-11 15:38:12,23,-22.9575,14.5053,85.15,8.05
183,Shimoda,100,JP,2022-06-11 15:38:13,90,34.6667,138.95,63.1,23.76
184,Half Moon Bay,40,US,2022-06-11 15:38:13,79,37.4636,-122.4286,80.58,5.75
185,Raudeberg,99,NO,2022-06-11 15:39:14,69,61.9875,5.1352,59.67,23.87
186,Peremyshlyany,100,UA,2022-06-11 15:39:14,83,49.6652,24.5585,67.06,9.6
187,Van,40,TR,2022-06-11 15:39:14,29,38.4924,43.3831,74.55,4.61
188,Alta Floresta,40,BR,2022-06-11 15:39:15,61,-9.8756,-56.0861,82.22,9.22
189,Houma,40,US,2022-06-11 15:39:15,78,29.5958,-90.7195,88.0,5.75
190,Oranjemund,97,NA,2022-06-11 15:39:15,45,-28.55,16.4333,66.43,8.97
191,Avera,71,US,2022-06-11 15:39:16,39,33.194,-82.5271,88.38,3.98
192,Wamba,58,NG,2022-06-11 15:39:16,52,8.9333,8.6,87.51,5.46
193,Bathsheba,40,BB,2022-06-11 15:39:17,70,13.2167,-59.5167,84.81,23.02
194,Tabanan,79,ID,2022-06-11 15:39:17,92,-8.5413,115.1252,81.0,4.41
195,Cantaura,97,VE,2022-06-11 15:39:17,52,9.3057,-64.3584,87.94,12.44
196,Langsa,99,ID,2022-06-11 15:39:18,92,4.4683,97.9683,74.98,1.88
197,Santa Marinella,2,IT,2022-06-11 15:39:18,49,42.0345,11.8536,87.53,20.33
198,Coahuayana,100,MX,2022-06-11 15:39:19,59,18.7333,-103.6833,87.4,1.41
199,Dikson,100,RU,2022-06-11 15:39:19,89,73.5069,80.5464,35.71,3.15
200,Atar,22,MR,2022-06-11 15:39:19,9,20.5169,-13.0499,110.66,8.12
201,Northampton,100,US,2022-06-11 15:35:34,65,40.8754,-75.2499,71.44,5.39
202,Kahului,0,US,2022-06-11 15:38:05,79,20.8947,-156.47,75.85,11.5
203,Bambous Virieux,75,MU,2022-06-11 15:39:20,68,-20.3428,57.7575,73.65,13.8
204,Ganzhou,99,CN,2022-06-11 15:38:06,90,28.8184,115.4327,72.25,0.96
205,Gelemso,93,ET,2022-06-11 15:39:20,54,8.8167,40.5167,66.92,8.55
206,Oda,51,JP,2022-06-11 15:39:21,90,35.1833,132.5,64.33,7.92
207,Constitucion,11,CL,2022-06-11 15:39:21,42,-35.3333,-72.4167,59.02,2.62
208,Yeniseysk,64,RU,2022-06-11 15:39:21,65,58.4497,92.1703,60.08,6.53
209,Hasaki,100,JP,2022-06-11 15:39:22,92,35.7333,140.8333,66.6,14.05
210,Vikhorevka,49,RU,2022-06-11 15:39:22,50,56.1201,101.1636,60.39,1.03
211,Klobuck,4,PL,2022-06-11 15:39:23,54,50.9008,18.9367,74.05,6.73
212,Sola,93,VU,2022-06-11 15:39:23,77,-13.8833,167.55,80.01,6.78
213,Revelstoke,100,CA,2022-06-11 15:35:44,94,50.9832,-118.2023,53.62,2.3
214,Gazli,2,UZ,2022-06-11 15:39:23,28,40.1333,63.45,82.96,8.41
215,Honiara,6,SB,2022-06-11 15:39:24,83,-9.4333,159.95,76.06,4.07
216,Ranong,100,TH,2022-06-11 15:39:24,85,9.9658,98.6348,79.95,5.55
217,Natori,100,JP,2022-06-11 15:39:25,98,38.1691,140.8823,62.47,3.18
218,Bobcaygeon,23,CA,2022-06-11 15:37:15,51,44.5462,-78.542,72.14,5.53
219,Hobyo,70,SO,2022-06-11 15:39:25,80,5.3505,48.5268,79.54,27.2
220,Lakes Entrance,100,AU,2022-06-11 15:39:25,74,-37.8811,147.981,53.17,24.02
221,Plymouth,0,US,2022-06-11 15:39:26,47,41.8334,-70.8328,78.84,5.75
222,Kavieng,7,PG,2022-06-11 15:39:26,71,-2.5744,150.7967,81.82,12.91
223,Abbeville,23,FR,2022-06-11 15:39:26,58,50.1,1.8333,70.5,11.61
224,Kanye,0,BW,2022-06-11 15:39:27,42,-24.9667,25.3327,53.28,6.51
225,Sinnamary,73,GF,2022-06-11 15:39:27,71,5.3833,-52.95,82.62,10.27
226,Iwaki,100,JP,2022-06-11 15:39:27,96,37.05,140.8833,65.77,4.74
227,Los Llanos De Aridane,20,ES,2022-06-11 15:39:28,78,28.6585,-17.9182,75.13,17.27
228,Rio Gallegos,75,AR,2022-06-11 15:39:28,57,-51.6226,-69.2181,48.25,11.5
229,Sitangkai,9,PH,2022-06-11 15:39:29,72,4.6628,119.3928,83.88,9.24
230,Hargeysa,60,SO,2022-06-11 15:39:29,30,9.56,44.065,83.48,6.44
231,Merano,12,IT,2022-06-11 15:40:29,38,46.6682,11.1595,89.31,2.46
232,Bandarbeyla,95,SO,2022-06-11 15:40:30,73,9.4942,50.8122,81.01,30.6
233,Ambilobe,70,MG,2022-06-11 15:40:30,70,-13.2,49.05,75.34,3.27
234,Katsuura,100,JP,2022-06-11 15:40:30,94,35.1333,140.3,64.96,21.68
235,Tecoanapa,99,MX,2022-06-11 15:40:31,65,16.5167,-98.75,85.15,3.18
236,Fort Morgan,0,US,2022-06-11 15:40:31,34,40.2503,-103.8,81.25,10.36
237,Isangel,72,VU,2022-06-11 15:40:31,87,-19.55,169.2667,76.53,5.1
238,Taltal,8,CL,2022-06-11 15:40:32,69,-25.4,-70.4833,62.17,5.17
239,Boa Vista,75,BR,2022-06-11 15:39:05,74,2.8197,-60.6733,80.58,8.05
240,Arys,100,KZ,2022-06-11 15:40:32,29,42.4252,68.795,82.08,12.3
241,Cody,0,US,2022-06-11 15:40:17,58,44.5263,-109.0565,71.91,8.05
242,Murdochville,65,CA,2022-06-11 15:40:33,57,48.9583,-65.5006,49.08,15.08
243,Bengkulu,100,ID,2022-06-11 15:40:33,90,-3.8004,102.2655,75.29,6.49
244,Lieksa,93,FI,2022-06-11 15:40:33,52,63.3167,30.0167,64.83,8.93
245,Comodoro Rivadavia,0,AR,2022-06-11 15:38:06,17,-45.8667,-67.5,60.66,5.75
246,Clyde River,100,CA,2022-06-11 15:40:34,93,70.4692,-68.5914,34.03,12.66
247,Vardo,100,NO,2022-06-11 15:40:34,81,70.3705,31.1107,48.18,3.44
248,San Patricio,3,US,2022-06-11 15:40:35,41,28.017,-97.5169,91.08,12.26
249,Avarua,75,CK,2022-06-11 15:40:35,69,-21.2078,-159.775,75.25,9.22
250,Marzuq,72,YE,2022-06-11 15:40:35,31,14.4,46.4667,86.49,6.85
251,Geraldton,75,AU,2022-06-11 15:40:36,94,-28.7667,114.6,64.81,3.44
252,General Pico,1,AR,2022-06-11 15:40:36,27,-35.6566,-63.7568,61.68,7.99
253,San Quintin,7,MX,2022-06-11 15:40:37,69,30.4833,-115.95,70.75,6.55
254,Airai,83,TL,2022-06-11 15:40:37,86,-8.9266,125.4092,56.12,3.4
255,Bonthe,100,SL,2022-06-11 15:40:37,72,7.5264,-12.505,82.9,10.45
256,Codrington,100,AU,2022-06-11 15:40:37,77,-38.2667,141.9667,51.8,19.19
257,Saint-Philippe,77,RE,2022-06-11 15:40:38,79,-21.3585,55.7679,71.19,12.8
258,Sharjah,0,AE,2022-06-11 15:40:40,46,25.3573,55.4033,93.49,11.5
259,Mali,38,GN,2022-06-11 15:40:41,37,12.079,-12.2982,81.55,6.11
260,Grenaa,25,DK,2022-06-11 15:40:41,67,56.4158,10.8783,71.82,15.59
261,Holme,19,DK,2022-06-11 15:40:42,58,56.1138,10.1725,71.17,14.67
262,Komsomolskiy,40,UZ,2022-06-11 15:40:42,34,40.4272,71.7189,81.32,13.8
263,Trelew,53,AR,2022-06-11 15:40:42,23,-43.249,-65.3051,58.01,7.58
264,Acari,29,PE,2022-06-11 15:40:43,48,-15.4311,-74.6158,74.21,7.27
265,Mercedes,26,AR,2022-06-11 15:40:43,21,-34.6515,-59.4307,56.03,8.34
266,Kloulklubed,24,PW,2022-06-11 15:40:43,70,7.0419,134.2556,73.9,5.53
267,Batagay-Alyta,89,RU,2022-06-11 15:40:44,52,67.8006,130.4114,49.05,1.05
268,Gat,0,IL,2022-06-11 15:40:44,32,31.61,34.7642,96.4,10.76
269,Naze,100,JP,2022-06-11 15:40:44,90,28.3667,129.4833,72.52,12.62
270,Antofagasta,38,CL,2022-06-11 15:40:45,53,-23.65,-70.4,66.22,6.4
271,Nemuro,100,JP,2022-06-11 15:40:45,99,43.3236,145.575,49.33,13.15
272,Kirakira,10,SB,2022-06-11 15:40:46,82,-10.4544,161.9205,78.17,3.47
273,Deputatskiy,33,RU,2022-06-11 15:40:46,77,69.3,139.9,46.58,4.38
274,Montepuez,89,MZ,2022-06-11 15:40:46,51,-13.1256,38.9997,72.07,7.14
